aid1,aid2,PublicationId,Year
434,604,2032662118,2000
131,312,2081438702,2003
354,447,2148797410,2003
312,714,2081438702,2003
242,714,2081438702,2003
242,312,2081438702,2003
131,714,2081438702,2003
354,729,2148797410,2003
131,242,2081438702,2003
290,424,2058945027,2003
116,424,2058945027,2003
447,729,2148797410,2003
26,176,1991049437,2003
116,290,2058945027,2003
190,278,2040889750,2004
242,426,141178354,2004
242,714,141178354,2004
426,714,141178354,2004
162,193,2917471711,2004
41,193,2917471711,2004
41,162,2917471711,2004
237,667,2594096449,2004
356,677,2594096449,2004
356,667,2594096449,2004
356,237,2594096449,2004
92,206,2023216257,2004
206,741,2023216257,2004
667,677,2594096449,2004
92,741,2023216257,2004
237,677,2594096449,2004
116,424,2186970589,2004
116,547,2186970589,2004
424,547,2186970589,2004
193,706,2244732202,2005
212,740,2096582896,2005
197,411,2736076540,2005
190,411,2736076540,2005
190,197,2736076540,2005
918,919,2735386739,2005
916,919,2735386739,2005
916,918,2735386739,2005
212,763,2096582896,2005
212,723,2096582896,2005
212,557,2096582896,2005
212,547,2096582896,2005
719,503,2686377191,2005
194,503,2686377191,2005
194,719,2686377191,2005
212,424,2096582896,2005
212,304,2096582896,2005
113,503,2686377191,2005
113,719,2686377191,2005
113,194,2686377191,2005
212,661,2096582896,2005
212,785,2096582896,2005
304,547,2096582896,2005
116,785,2096582896,2005
557,661,2096582896,2005
547,785,2096582896,2005
547,763,2096582896,2005
547,740,2096582896,2005
547,723,2096582896,2005
547,661,2096582896,2005
547,557,2096582896,2005
424,785,2096582896,2005
424,763,2096582896,2005
304,424,2096582896,2005
424,740,2096582896,2005
424,661,2096582896,2005
424,557,2096582896,2005
424,547,2096582896,2005
304,785,2096582896,2005
304,763,2096582896,2005
304,740,2096582896,2005
304,723,2096582896,2005
304,661,2096582896,2005
304,557,2096582896,2005
424,723,2096582896,2005
116,763,2096582896,2005
116,723,2096582896,2005
557,723,2096582896,2005
116,326,2086672633,2005
116,212,2086672633,2005
83,482,2613134743,2005
677,970,2594912664,2005
666,970,2594912664,2005
666,677,2594912664,2005
26,176,1987534390,2005
116,424,1989859713,2005
116,547,1989859713,2005
116,424,2086672633,2005
424,547,1989859713,2005
85,517,2014704677,2005
85,137,2014704677,2005
411,970,2594912664,2005
411,677,2594912664,2005
411,666,2594912664,2005
